restaurant_name,price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,last_certificate_excellence,cuisine_nation,meals
Ramen House Manresa,€€-€€€,Y,Y,6.0,3.5,119,4.0,3.0,,1,Manresa,,Japanese,
Pizzeria 1900,€€-€€€,N,N,7.0,2.5,112,3.5,3.0,,1,Manresa,,Italian,
Kursaal Espai Gastronòmic,€€-€€€,Y,Y,7.0,4.0,299,4.0,4.0,4.0,23,Manresa,Certificate of Excellence 2016,Spanish,"Dinner, Lunch"
Sibar,€€-€€€,N,Y,7.0,4.0,208,4.0,4.0,4.0,8,Manresa,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
L'Ermitanet,€€-€€€,N,N,6.0,4.0,200,4.0,4.0,4.0,4,Manresa,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Raviolo,€€-€€€,Y,Y,7.0,4.5,425,4.5,4.5,4.0,19,Manresa,Certificate of Excellence 2020,Italian,
Cal Spaguetti,€€-€€€,Y,Y,6.0,4.0,305,4.0,4.0,4.0,6,Manresa,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Canonge,€€-€€€,Y,N,6.0,4.0,203,4.0,4.0,4.5,4,Manresa,Certificate of Excellence 2019,Spanish,
Restaurante Aligue,€€€€,N,Y,7.0,4.0,221,4.5,4.0,4.0,4,Manresa,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
La Cuina,€€-€€€,N,N,6.0,4.5,140,4.5,4.5,4.0,4,Manresa,Certificate of Excellence 2020,Spanish,
Turo de la torre,€€-€€€,N,Y,3.0,4.0,105,4.5,4.0,,0,Manresa,Certificate of Excellence 2018,Spanish,"Breakfast, Dinner, Lunch"
Las Vegas,€€-€€€,Y,Y,6.0,4.0,223,4.5,4.5,4.5,6,Manresa,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
Cocteleria Glaç,€€-€€€,Y,Y,6.0,3.5,140,3.5,4.0,4.5,1,Manresa,,,"Breakfast, Dinner, Lunch"
Cafe restaurante Chinito,€€-€€€,Y,Y,6.0,4.0,150,4.0,4.0,4.0,1,Manresa,Certificate of Excellence 2015,Spanish,
American Food factory,€€-€€€,N,N,4.0,4.0,151,4.0,4.0,4.5,3,Manresa,Certificate of Excellence 2018,American,Lunch
La Tagliatella Manresa,€€-€€€,N,N,7.0,3.5,214,4.0,3.5,3.5,1,Manresa,,Italian,
Creperie Bretonne - Annaick - Manresa,€€-€€€,Y,N,7.0,4.0,147,4.0,3.5,4.0,4,Manresa,Certificate of Excellence 2017,French,
Sakura,€€-€€€,N,N,,3.5,128,4.0,3.5,4.5,1,Manresa,,Japanese,"Dinner, Lunch"
Restaurant Vermell,€€-€€€,N,N,5.0,4.0,123,4.0,4.5,4.5,9,Manresa,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Gretta Gogo,€€-€€€,Y,Y,,4.0,407,4.0,4.0,4.5,5,Manresa,Certificate of Excellence 2019,Spanish,
Complex Congost,€€-€€€,Y,Y,,4.5,106,4.5,4.5,,57,Manresa,Certificate of Excellence 2018,Spanish,"Breakfast, Dinner, Lunch"
Ca la Raquel,€€-€€€,N,N,,3.5,127,3.5,3.5,,1,Manresa,,Spanish,"Dinner, Lunch"
Boira,€€-€€€,Y,Y,5.0,4.5,233,4.5,4.5,,6,Vic,Certificate of Excellence 2020,Spanish,
Pizzeria 1900 Vic,€€-€€€,N,N,7.0,3.0,147,4.0,3.5,,1,Vic,,Italian,
Amici Miei Taverna Italiana,€€-€€€,Y,N,3.0,4.5,114,5.0,5.0,,7,Vic,Certificate of Excellence 2020,Italian,
El Bitxo Italià,€€-€€€,Y,Y,5.0,4.5,142,4.5,4.5,3.5,3,Vic,Certificate of Excellence 2020,Italian,
XinVic Gastrobar,€€-€€€,Y,Y,6.0,4.5,126,5.0,5.0,,5,Vic,Certificate of Excellence 2020,Spanish,
Restaurante El Bohemi,€€-€€€,N,N,6.0,4.0,116,4.0,4.0,4.0,2,Vic,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
El Jardinet,€€-€€€,Y,Y,6.0,4.0,373,4.5,4.5,4.0,31,Vic,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Cal Fuste Restaurant,€€-€€€,Y,N,6.0,4.0,175,4.5,4.5,4.0,3,Vic,Certificate of Excellence 2019,Spanish,
Cal U,€€-€€€,N,Y,6.0,4.0,180,4.0,4.0,4.0,9,Vic,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Arros I Peix Vic,€€-€€€,N,Y,6.0,4.0,218,4.5,4.0,4.0,12,Vic,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
La Tagliatella Vic,€€-€€€,N,N,7.0,3.5,107,3.5,3.5,3.5,6,Vic,,Italian,"Dinner, Lunch"
Magda Subirana,€€-€€€,Y,Y,6.0,4.0,319,4.5,4.0,4.5,21,Vic,Certificate of Excellence 2020,Spanish,
El Caliu,€€-€€€,N,Y,6.0,4.0,231,4.0,4.0,3.5,1,Vic,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Mas Ricart,€€-€€€,N,N,7.0,3.5,174,3.5,3.5,4.0,1,Vic,Certificate of Excellence 2015,,"Dinner, Lunch"
Restaurante Parador de Vic-Sau.,€€-€€€,N,Y,,3.5,117,3.5,3.5,3.5,1,Vic,,Spanish,"Breakfast, Dinner, Lunch"
La Bodega De Vic,€€-€€€,N,N,,3.5,111,4.0,3.5,3.5,5,Vic,,Spanish,"Dinner, Lunch"
Divicnus,€€-€€€,Y,Y,5.0,4.0,265,4.5,3.5,4.0,6,Vic,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Vikus's,€€-€€€,N,N,7.0,3.0,243,3.0,3.0,4.0,1,Vic,,Spanish,"Breakfast, Dinner, Lunch"
Celler d'en Miquel,€,Y,N,7.0,4.0,159,4.0,4.5,,1,Vic,Certificate of Excellence 2018,Spanish,"Breakfast, Dinner, Lunch"
Okashii,€€-€€€,Y,N,7.0,3.5,226,4.0,4.0,4.0,1,Vic,,Japanese,
La Creperia,€€-€€€,Y,Y,6.0,4.5,110,4.5,4.0,4.0,6,Vic,Certificate of Excellence 2019,,
El Barecu,€€-€€€,Y,N,5.0,4.0,103,4.0,4.0,4.0,6,Vic,Certificate of Excellence 2018,Spanish,
Restaurant L'Ona Vic,€€-€€€,N,N,6.0,4.5,102,4.0,4.5,,1,Vic,Certificate of Excellence 2018,Spanish,"Breakfast, Lunch"
La Flama,€€-€€€,Y,Y,,4.5,257,4.5,4.5,,10,Vic,Certificate of Excellence 2020,Italian,
Barmutet,€€-€€€,N,N,,4.0,172,4.0,4.0,,12,Vic,,Spanish,"Dinner, Lunch"
Vicfood,€€-€€€,Y,Y,6.0,4.5,334,4.5,4.5,,24,Vic,Certificate of Excellence 2020,Spanish,
Guga,€€-€€€,Y,Y,,4.0,126,4.0,4.0,,2,Vilafranca del Penedes,Certificate of Excellence 2019,Italian,
La vinya del Mar,€€-€€€,N,Y,6.0,4.5,101,4.5,4.5,,2,Vilafranca del Penedes,Certificate of Excellence 2020,Spanish,
La Fabrica,€€-€€€,Y,Y,6.0,4.0,561,4.0,4.0,4.0,16,Vilafranca del Penedes,Certificate of Excellence 2020,Italian,"Dinner, Lunch"
Platets per picar,€€-€€€,Y,Y,6.0,4.0,224,4.0,4.0,4.0,12,Vilafranca del Penedes,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
El Cigro d'Or,€€-€€€,Y,Y,7.0,4.0,367,4.5,4.5,4.5,29,Vilafranca del Penedes,Certificate of Excellence 2020,Spanish,
Centric Gastro-Bar,€€-€€€,Y,Y,6.0,4.0,261,4.0,4.5,4.0,15,Vilafranca del Penedes,Certificate of Excellence 2020,Spanish,
Cal Ton,€€€€,Y,N,6.0,4.5,309,4.5,4.5,4.0,41,Vilafranca del Penedes,,Spanish,
Casa Joan,€€€€,N,Y,7.0,4.5,138,4.5,4.0,4.0,5,Vilafranca del Penedes,Certificate of Excellence 2019,,"Dinner, Lunch"
La Llar de la Vila,€€-€€€,N,N,7.0,3.5,149,4.0,3.5,3.0,3,Vilafranca del Penedes,,Italian,
En Rima Culinary Space,€€€€,N,Y,6.0,4.5,282,4.5,4.5,4.5,26,Vilafranca del Penedes,Certificate of Excellence 2019,Spanish,
7 de Nit,€€-€€€,N,N,7.0,4.0,151,4.0,3.5,4.0,2,Vilafranca del Penedes,Certificate of Excellence 2020,Italian,
Restaurant Pizzeria Tresviso,€€-€€€,N,Y,,4.5,167,4.5,4.5,4.0,1,Vilafranca del Penedes,Certificate of Excellence 2020,Italian,"Dinner, Lunch"
"Restaurante ""La Martina""",€€-€€€,N,Y,6.0,4.5,237,4.5,4.5,4.0,8,Vilafranca del Penedes,Certificate of Excellence 2020,Latin,
Can Belles,€€-€€€,Y,Y,6.0,4.0,128,4.0,4.0,3.5,0,Vilafranca del Penedes,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Pizzeria Cal Turbo,€,N,N,7.0,4.0,132,4.0,4.0,3.0,2,Vilafranca del Penedes,Certificate of Excellence 2017,Italian,Dinner
El Convent,€€-€€€,Y,Y,5.0,4.5,167,4.5,4.0,4.5,10,Vilafranca del Penedes,Certificate of Excellence 2020,Spanish,
La Barraca Del Delta,€€-€€€,N,Y,6.0,4.0,109,4.5,4.5,,2,Vilafranca del Penedes,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
La Niña Santa,€€-€€€,N,N,6.0,3.5,104,3.5,3.5,,3,Vilassar de Mar,,Mexican,"Dinner, Lunch"
Cal tito,€€-€€€,N,N,6.0,3.5,266,4.0,3.0,3.5,5,Vilassar de Mar,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
El Terral,€€-€€€,Y,Y,6.0,4.0,177,4.5,4.0,3.5,5,Vilassar de Mar,Certificate of Excellence 2020,Spanish,
nami,€€-€€€,N,N,6.0,4.0,103,4.5,4.5,4.5,3,Vilassar de Mar,Certificate of Excellence 2018,Japanese,"Dinner, Lunch"
Atlantida,€€-€€€,Y,Y,7.0,3.5,357,3.5,4.0,3.5,3,Vilassar de Mar,,Italian,
Espinaler,€€-€€€,N,Y,7.0,4.0,507,4.0,3.5,4.0,9,Vilassar de Mar,Certificate of Excellence 2015,Spanish,"Dinner, Lunch"
Restaurant Palomares,€€-€€€,N,N,6.0,3.5,458,3.5,4.0,3.5,6,Vilassar de Mar,,Spanish,"Dinner, Lunch"
Can Pa Amb Tomaquet,€€-€€€,N,Y,6.0,4.5,160,4.5,4.5,4.5,6,Vilassar de Mar,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Can França,€€-€€€,N,N,5.0,4.0,105,4.0,4.0,,1,Vilassar de Mar,Certificate of Excellence 2019,Spanish,Lunch
Restaurant Botavara Vilassar,€€-€€€,Y,Y,6.0,4.5,118,4.5,4.5,4.5,2,Vilassar de Mar,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Bar Zamora Can Matias,€,N,N,6.0,4.5,117,4.5,4.5,,1,Vilassar de Mar,Certificate of Excellence 2020,Spanish,
Castell de Guanta,€€-€€€,Y,Y,3.0,4.0,102,4.5,4.5,,53,Sentmenat,Certificate of Excellence 2018,Spanish,"Breakfast, Dinner, Lunch"
el celler d'argentona,€€-€€€,N,Y,6.0,4.0,112,4.0,4.0,4.5,1,Argentona,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
La Nova Fonda,€€-€€€,Y,Y,7.0,4.5,150,4.0,4.5,4.0,86,Argentona,Certificate of Excellence 2020,Japanese Fusion,
Restaurant Santa Marta,€€-€€€,Y,Y,6.0,4.0,253,4.0,4.0,4.5,7,Cabrera de Mar,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Restaurant Cals Frares,€€-€€€,N,Y,7.0,3.0,228,3.5,3.0,3.0,0,Cabrera de Mar,,Spanish,"Dinner, Lunch"
Cal Tito,€€-€€€,N,N,,3.5,142,4.0,3.0,4.0,1,Cabrera de Mar,,Spanish,"Dinner, Lunch"
Bruma Beach Lounge Bar,€€-€€€,N,N,7.0,3.0,164,4.0,3.5,,8,Cabrera de Mar,,Spanish,"Dinner, Lunch"
Vaive Xiringuito,€€-€€€,N,Y,7.0,3.5,194,4.0,3.5,,4,Cabrera de Mar,,Spanish,
Restaurant Can Rafel,€€€€,N,N,1.0,4.5,117,4.5,4.5,4.5,7,Cervello,,Spanish,
Masia Can Guitart,€€-€€€,N,N,5.0,3.5,165,3.5,3.5,3.5,46,Cervello,Certificate of Excellence 2016,Spanish,
Can Biel Restaurant,€€-€€€,Y,Y,6.0,4.0,199,4.0,4.0,4.5,101,Llinars del Valles,Certificate of Excellence 2019,Spanish,
La Mola,€€-€€€,Y,N,7.0,3.5,155,4.0,3.5,4.0,4,Matadepera,,Spanish,"Breakfast, Dinner, Lunch"
Can Vinyers,€€-€€€,Y,N,6.0,4.0,154,4.5,4.5,4.5,7,Matadepera,Certificate of Excellence 2020,Spanish,
El Celler de Matadepera,€€-€€€,Y,Y,6.0,4.0,189,4.5,4.5,4.5,5,Matadepera,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Cal Blay Vinticinc,€€-€€€,N,Y,6.0,4.0,306,4.0,4.0,4.0,20,Sant Sadurni d'Anoia,Certificate of Excellence 2020,Spanish,
Hatsukoi by El Centre,€€-€€€,Y,Y,5.0,4.5,209,5.0,4.5,,9,Sant Sadurni d'Anoia,Certificate of Excellence 2020,Japanese Fusion,
Il Picarolo,€€-€€€,Y,Y,7.0,4.0,342,4.0,4.0,3.5,9,Sant Sadurni d'Anoia,Certificate of Excellence 2017,Italian,"Dinner, Lunch"
La Cava D'en Sergi,€€-€€€,Y,Y,6.0,4.5,257,4.5,4.0,4.0,11,Sant Sadurni d'Anoia,,Spanish,"Dinner, Lunch"
Restaurant - Botiga Ticus,€€-€€€,N,Y,5.0,4.5,406,4.5,4.5,4.0,48,Sant Sadurni d'Anoia,Certificate of Excellence 2020,Spanish,
Ambrasa,€€-€€€,Y,Y,3.0,4.5,187,4.5,4.5,4.5,7,Sant Sadurni d'Anoia,Certificate of Excellence 2019,Spanish,"Breakfast, Dinner, Lunch"
Restaurant La Perla,€€-€€€,N,N,6.0,4.0,171,4.0,4.0,4.0,9,Sant Sadurni d'Anoia,Certificate of Excellence 2017,Spanish,"Breakfast, Dinner, Lunch"
Canals & Munne,€€-€€€,N,Y,2.0,4.5,701,4.0,4.0,4.0,7,Sant Sadurni d'Anoia,Certificate of Excellence 2020,Spanish,
Taps de suro,€€-€€€,Y,Y,6.0,4.0,191,4.0,4.0,4.0,16,Sant Sadurni d'Anoia,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
L' Era,€€-€€€,Y,Y,7.0,4.0,186,4.0,4.0,4.0,1,Arenys de Munt,Certificate of Excellence 2020,Spanish,
Ca la Pepa Fornera,€€-€€€,N,Y,,4.5,227,4.5,4.0,4.0,2,Arenys de Munt,Certificate of Excellence 2020,,"Dinner, Lunch"
Restaurant Collsacreu,€€-€€€,N,Y,6.0,4.0,118,4.0,4.0,4.0,4,Arenys de Munt,Certificate of Excellence 2016,,"Dinner, Lunch"
Cal Tallon,€€-€€€,Y,Y,7.0,4.5,134,4.5,4.0,4.0,2,Olesa de Montserrat,Certificate of Excellence 2018,,
Restaurant Cal Felip,€€-€€€,N,Y,,4.0,114,4.0,4.0,,1,Olesa de Montserrat,Certificate of Excellence 2019,Spanish,"Breakfast, Dinner, Lunch"
Can Coll,€€-€€€,N,N,7.0,3.5,223,4.0,3.5,3.5,1,Polinya,,Spanish,"Dinner, Lunch"
Can Alzina,€€-€€€,N,N,,3.5,106,4.0,4.0,4.0,1,Polinya,,Spanish,"Dinner, Lunch"
Can Mauri,€€-€€€,N,N,5.0,3.5,159,4.0,4.0,,0,Polinya,,Spanish,"Dinner, Lunch"
Restaurant Castanyers,€€-€€€,N,N,,3.5,122,4.0,4.0,,1,Sant Fost de Campsentelles,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
El Raco de Can Feliu,€€-€€€,N,N,6.0,3.5,102,4.0,3.5,4.0,0,Vilassar de Dalt,,Spanish,"Dinner, Lunch"
Restaurant Emocions,€€-€€€,N,N,7.0,3.5,242,4.0,3.5,,8,Vilassar de Dalt,,Spanish,"Breakfast, Dinner, Lunch"
Can Ferran Masia Restaurant,€€-€€€,Y,Y,6.0,4.0,703,4.5,4.0,4.0,21,Sant Quirze del Valles,,Spanish,"Dinner, Lunch"
Famy Restaurant,€€-€€€,N,N,6.0,4.0,113,4.5,4.5,4.5,0,Sant Quirze del Valles,Certificate of Excellence 2019,Spanish,
Mirko Carturan Cuiner,€€€€,Y,Y,,4.5,189,4.5,4.5,4.5,8,Caldes de Montbui,,Spanish,"Dinner, Lunch"
Robert de Nola,€€€€,Y,Y,6.0,4.5,441,4.5,4.0,4.0,10,Caldes de Montbui,Certificate of Excellence 2019,Spanish,
Na Madrona,€€-€€€,Y,Y,7.0,4.5,159,4.5,4.5,4.5,7,Caldes de Montbui,Certificate of Excellence 2020,Italian,
Restaurante Pizzeria Mediterranea,€€-€€€,Y,N,6.0,4.5,130,4.5,4.5,4.0,2,Caldes de Montbui,Certificate of Excellence 2018,Italian,"Dinner, Lunch"
Pizzeria il Lago,€,N,N,7.0,4.0,108,4.0,4.0,3.5,1,Caldes de Montbui,Certificate of Excellence 2019,Italian,"Breakfast, Dinner, Lunch"
La Magnolia d'Ucler,€€-€€€,N,N,6.0,4.0,162,4.0,3.5,4.0,2,Caldes de Montbui,Certificate of Excellence 2018,,"Dinner, Lunch"
