restaurant_name,price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,last_certificate_excellence,cuisine_nation,meals
Amorino - Ramblas,€€-€€€,N,Y,7.0,4.5,213,4.5,4.5,,53,Barcelona,Certificate of Excellence 2020,,
chök - The Chocolate Kitchen,€€-€€€,Y,N,7.0,4.5,144,4.5,4.5,,45,Barcelona,Certificate of Excellence 2020,,
TinGana,€€-€€€,N,N,6.0,3.5,117,3.5,3.5,,3,Barcelona,,Spanish,"Dinner, Lunch"
Brunch & Cake by the Sea,€€-€€€,Y,Y,7.0,4.0,490,4.0,4.0,,117,Barcelona,Certificate of Excellence 2018,American,"Breakfast, Lunch"
The Green Spot,€€-€€€,Y,Y,,4.0,744,4.5,4.0,,135,Barcelona,Certificate of Excellence 2019,,"Dinner, Lunch"
Craft Barcelona,€,N,N,2.0,4.5,257,4.0,4.5,,88,Barcelona,Certificate of Excellence 2020,,
Bar El Tropezon,€,N,N,,3.5,413,3.5,3.0,3.5,26,Barcelona,,Spanish,"Dinner, Lunch"
De Tapa Madre,€€-€€€,Y,Y,7.0,4.0,1071,4.0,4.0,4.0,147,Barcelona,Certificate of Excellence 2014,Spanish,"Dinner, Lunch"
Original’s Bakery,€€-€€€,N,N,,2.0,103,2.0,2.0,,0,Barcelona,,,
murivecchi,€€-€€€,Y,Y,7.0,4.0,918,4.0,4.0,4.0,106,Barcelona,Certificate of Excellence 2020,Italian,
Restaurante Salamanca,€€-€€€,N,Y,7.0,3.5,4794,3.5,3.5,3.5,518,Barcelona,,Spanish,
BRO Room,€€-€€€,Y,Y,7.0,4.5,356,4.5,4.5,,62,Barcelona,Certificate of Excellence 2020,Argentinian,
Hola Manito,€€-€€€,N,N,,3.5,118,3.5,4.0,3.5,3,Barcelona,,Mexican,"Dinner, Lunch"
Bar Seco,€€-€€€,Y,Y,7.0,4.5,156,4.5,4.0,4.5,33,Barcelona,Certificate of Excellence 2017,Spanish,
Kitchen Barcelona,€,Y,N,7.0,4.5,113,5.0,4.5,,38,Barcelona,Certificate of Excellence 2019,Italian,
Gula Sana,€,Y,Y,7.0,4.5,150,5.0,4.5,,43,Barcelona,Certificate of Excellence 2020,,"Breakfast, Lunch"
Dao Kaitensushi,€,N,N,7.0,3.5,175,3.5,3.5,3.5,22,Barcelona,Certificate of Excellence 2015,Chinese,
Bar Ri Sarria,€€-€€€,N,N,7.0,3.5,166,3.5,3.5,,8,Barcelona,,Spanish,"Dinner, Lunch"
Flauta II,€€-€€€,Y,Y,6.0,4.0,183,4.0,3.5,,24,Barcelona,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
Restaurante Fulano Mengano,€€-€€€,N,Y,6.0,4.5,134,4.5,4.5,,11,Barcelona,Certificate of Excellence 2017,Spanish,
Rainbow Buffet Libre,€€-€€€,N,N,,3.0,136,3.5,2.0,,1,Barcelona,,Japanese,
restaurante Mr Kao,€€€€,Y,N,,3.5,171,4.0,4.0,,11,Barcelona,Certificate of Excellence 2017,Chinese,"Dinner, Lunch"
Nomo Gracia,€€-€€€,Y,Y,7.0,4.0,913,4.5,4.0,4.0,69,Barcelona,Certificate of Excellence 2018,Japanese,
The Bagel Hood,€,Y,N,6.0,4.5,141,4.5,4.5,,63,Barcelona,Certificate of Excellence 2020,American,
El Clot Restaurante Barcelona,€€-€€€,Y,Y,7.0,4.5,1021,4.5,4.5,,204,Barcelona,Certificate of Excellence 2020,Spanish,
Bonatapa,€€-€€€,N,N,,2.0,118,2.5,3.0,,3,Barcelona,,Spanish,
Koku Kitchen Ramen & Gyoza Bar,€€-€€€,Y,Y,7.0,4.5,357,4.0,4.0,,77,Barcelona,Certificate of Excellence 2020,Japanese,"Dinner, Lunch"
Ferrum,€€-€€€,N,Y,6.0,4.5,268,4.5,4.5,4.5,60,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Xaica Restaurant,€,N,N,,3.5,294,3.5,3.5,3.5,19,Barcelona,Certificate of Excellence 2013,Spanish,"Dinner, Lunch"
Touche BCN Restaurant,€€-€€€,N,N,7.0,4.0,127,3.5,4.0,,26,Barcelona,Certificate of Excellence 2018,Spanish,
Tocca Ristorante,€€-€€€,N,N,7.0,3.0,554,3.5,3.5,,90,Barcelona,,Italian,"Breakfast, Dinner, Lunch"
La Bella Napoli,€€-€€€,Y,N,7.0,4.0,451,4.0,3.5,3.5,49,Barcelona,Certificate of Excellence 2017,Italian,
Teddy's Barcelona,€,Y,Y,7.0,5.0,892,5.0,5.0,,502,Barcelona,Certificate of Excellence 2020,Lebanese,"Dinner, Lunch"
Luigi Ristorante,€€-€€€,Y,Y,7.0,4.5,1277,4.5,4.5,,313,Barcelona,Certificate of Excellence 2020,Italian,
Sushifresh,€€-€€€,Y,Y,7.0,4.0,211,4.5,4.0,,7,Barcelona,Certificate of Excellence 2019,Japanese,
Santa Burg Eixample,€€-€€€,Y,Y,7.0,4.0,205,4.5,4.5,,24,Barcelona,Certificate of Excellence 2018,American,
SantaBel,€€-€€€,Y,Y,6.0,4.5,174,4.5,4.5,,18,Barcelona,Certificate of Excellence 2020,Spanish,
Champanillo Barcelona,€,N,N,7.0,4.0,112,4.0,3.5,,10,Barcelona,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
El Pi Antic,€€-€€€,N,N,6.0,2.0,235,2.5,2.5,2.5,9,Barcelona,,Spanish,
Rimini Rimini,€€-€€€,Y,N,,4.0,113,4.5,4.5,,19,Barcelona,Certificate of Excellence 2020,Italian,"Breakfast, Dinner, Lunch"
Yoma,€,Y,Y,,4.0,117,3.5,3.5,,5,Barcelona,,Japanese,"Dinner, Lunch"
Kserol,€€-€€€,Y,Y,5.0,4.5,366,4.5,5.0,,131,Barcelona,Certificate of Excellence 2020,Spanish,"Breakfast, Lunch"
Cadaqués Restaurant,€€-€€€,N,N,,3.0,322,3.5,3.5,,28,Barcelona,,Spanish,
Abissinia,€€-€€€,Y,N,6.0,3.5,278,4.0,4.0,4.0,37,Barcelona,Certificate of Excellence 2020,,
Mokaï Beach Bar,€€-€€€,N,N,7.0,3.0,133,3.0,3.5,,19,Barcelona,,Spanish,"Breakfast, Lunch"
Alt Heidelberg,€€-€€€,N,N,7.0,3.5,242,3.5,3.5,3.5,14,Barcelona,,,"Dinner, Lunch"
La Tramoia,€€-€€€,N,N,7.0,3.5,1435,3.5,3.5,3.5,135,Barcelona,,Spanish,"Dinner, Lunch"
PolkaBar,€,N,N,6.0,5.0,102,4.5,5.0,,24,Barcelona,Certificate of Excellence 2020,Polish,"Dinner, Lunch"
Estimar,€€€€,N,Y,,4.5,327,4.5,4.5,,51,Barcelona,,Spanish,"Dinner, Lunch"
Hugo,€€-€€€,N,N,6.0,4.0,182,4.0,4.0,4.0,17,Barcelona,Certificate of Excellence 2016,Chilean,"Dinner, Lunch"
Casa Lola - Rambla 70,€€-€€€,N,N,7.0,3.5,537,3.5,3.5,,76,Barcelona,,Spanish,Dinner
Beer'linale,€€-€€€,N,Y,7.0,4.5,422,4.5,4.5,,115,Barcelona,Certificate of Excellence 2020,Spanish,
Restaurante Kurai,€€-€€€,Y,Y,7.0,4.5,676,4.5,4.5,,63,Barcelona,Certificate of Excellence 2020,Japanese,
Pasta Madre - Tallers,€,Y,N,7.0,4.5,399,4.5,4.0,,74,Barcelona,Certificate of Excellence 2020,Italian,"Dinner, Lunch"
Ventuno,€€-€€€,Y,N,7.0,4.5,108,4.5,4.5,,10,Barcelona,Certificate of Excellence 2019,Italian,"Dinner, Lunch"
Restaurante Somorrostro,€€-€€€,N,Y,7.0,4.0,1273,4.5,4.0,4.5,324,Barcelona,Certificate of Excellence 2019,Spanish,
Mextizo Barcelona,€€€€,Y,Y,6.0,4.0,417,4.0,4.0,,27,Barcelona,Certificate of Excellence 2020,Latin,
Casa Alfonso,€€-€€€,N,N,6.0,4.0,1451,4.0,4.0,4.0,320,Barcelona,Certificate of Excellence 2020,Spanish,
Lomo Alto,€€€€,N,Y,7.0,4.0,673,4.0,4.0,,63,Barcelona,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
El Rincon Restaurant,€€-€€€,Y,Y,7.0,4.5,1263,4.0,4.0,4.0,203,Barcelona,Certificate of Excellence 2020,Spanish,
Oleum,€€€€,N,N,5.0,4.0,359,4.0,4.0,4.5,62,Barcelona,Certificate of Excellence 2018,Spanish,
Dona Rosa,€€-€€€,Y,Y,7.0,4.5,823,4.5,4.5,,394,Barcelona,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
El Jardi de l'Abadessa,€€€€,Y,Y,7.0,3.5,329,3.5,3.5,4.0,10,Barcelona,,Spanish,
Restaurante Leku,€€-€€€,Y,Y,,4.5,338,4.5,4.5,4.0,30,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Boket la Boqueria,€€-€€€,N,N,,3.5,168,4.0,3.5,,21,Barcelona,,Spanish,"Dinner, Lunch"
Restaurante Di Como Bcn,€€-€€€,Y,Y,,4.5,122,4.5,4.5,,4,Barcelona,Certificate of Excellence 2020,Italian,
Solomillo Restaurant,€€-€€€,N,Y,5.0,4.5,582,4.5,4.5,,86,Barcelona,Certificate of Excellence 2020,Spanish,
Comida De Olla,€,Y,Y,6.0,4.5,342,4.5,5.0,,71,Barcelona,Certificate of Excellence 2020,Spanish,Lunch
Story,€€-€€€,Y,Y,7.0,4.5,274,4.5,4.5,,112,Barcelona,Certificate of Excellence 2020,,
Equilibri Bcn,€€-€€€,Y,Y,6.0,4.5,263,4.5,4.5,,33,Barcelona,Certificate of Excellence 2020,,
Fragments cafe,€€-€€€,N,Y,6.0,3.5,452,4.0,3.5,4.0,35,Barcelona,,Spanish,"Dinner, Lunch"
El Born,€,N,N,7.0,4.5,351,4.0,4.0,4.5,143,Barcelona,Certificate of Excellence 2020,Spanish,"Breakfast, Lunch"
Xemei,€€-€€€,Y,Y,7.0,4.0,624,4.5,4.0,4.0,92,Barcelona,Certificate of Excellence 2020,Italian,
La Hacienda,€,Y,N,7.0,4.0,159,4.0,4.0,,29,Barcelona,,Mexican,"Dinner, Lunch"
Pudding Barcelona - Diagonal,€€-€€€,N,N,7.0,3.5,267,3.5,3.0,,18,Barcelona,,British,"Breakfast, Lunch"
Moti Mahal,€€-€€€,Y,N,6.0,4.0,150,4.0,4.0,3.5,43,Barcelona,Certificate of Excellence 2018,Indian,
Conesa Entrepans,€,Y,Y,6.0,4.5,901,4.5,4.0,3.5,190,Barcelona,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
Can Valles,€€-€€€,N,Y,6.0,4.5,882,5.0,4.5,4.0,66,Barcelona,Certificate of Excellence 2020,Spanish,
Toma Ya Street Food,€,Y,Y,6.0,5.0,127,5.0,4.5,,32,Barcelona,Certificate of Excellence 2020,Peruvian,"Dinner, Lunch"
Tres Chiles,€,N,N,6.0,4.0,110,4.0,4.0,,10,Barcelona,,Mexican,
Gonzalez & Co,€,Y,Y,6.0,4.0,239,4.5,4.5,,31,Barcelona,Certificate of Excellence 2020,Mexican,
Restaurante Charrito,€€-€€€,N,N,7.0,4.0,155,4.0,4.5,,14,Barcelona,Certificate of Excellence 2020,Spanish,
OGGI Officina Gelato Gusto Italiano,€€-€€€,Y,Y,7.0,5.0,404,5.0,4.5,,168,Barcelona,Certificate of Excellence 2020,Italian,
Diegos Bar Restaurant,€€-€€€,Y,N,6.0,5.0,137,4.5,5.0,,23,Barcelona,Certificate of Excellence 2020,Spanish,
Xerta Restaurant,€€€€,N,Y,5.0,4.5,438,4.5,4.0,,49,Barcelona,,Spanish,"Dinner, Lunch"
Lamun Cuina Thai,€€-€€€,Y,Y,6.0,4.5,200,4.5,4.5,,36,Barcelona,Certificate of Excellence 2020,Thai,
Casa Dorita,€€-€€€,Y,Y,6.0,4.0,291,4.5,4.5,,42,Barcelona,Certificate of Excellence 2020,Spanish,
Kiku Japones,€€-€€€,Y,Y,7.0,4.5,470,4.5,4.5,4.5,28,Barcelona,,Japanese,
Tiasanta,€€-€€€,Y,Y,,4.5,274,4.5,4.5,,47,Barcelona,Certificate of Excellence 2019,Spanish,"Breakfast, Dinner, Lunch"
Restaurante Fukamura,€€-€€€,N,Y,6.0,4.5,282,4.5,4.5,,27,Barcelona,Certificate of Excellence 2020,Japanese,
Lucy's Burger & Tapas,€€-€€€,Y,Y,5.0,5.0,119,4.5,5.0,,45,Barcelona,Certificate of Excellence 2019,Spanish,
Equilibrium Cafe,€,Y,Y,6.0,5.0,141,5.0,5.0,,50,Barcelona,Certificate of Excellence 2020,American,
Bao Bar,€€-€€€,N,N,,3.5,104,4.0,3.5,,0,Barcelona,,,Lunch
La Foga,€€-€€€,Y,Y,7.0,4.5,847,4.0,4.0,,120,Barcelona,Certificate of Excellence 2020,,"Dinner, Lunch"
Patagonia Beef & Wine,€€€€,N,Y,7.0,4.5,2028,4.5,4.5,4.0,757,Barcelona,Certificate of Excellence 2020,Argentinian,
Cellarer Wine Bar,€€-€€€,Y,Y,6.0,5.0,280,5.0,5.0,,146,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Bar Omar,€€-€€€,N,N,,4.0,144,4.5,4.0,,4,Barcelona,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Oria Restaurant,€€€€,Y,Y,5.0,4.5,848,4.5,4.5,,154,Barcelona,,Spanish,"Dinner, Lunch"
El Rebost De Sant Antoni,€€-€€€,N,Y,7.0,4.5,158,4.5,4.5,,4,Barcelona,Certificate of Excellence 2020,Spanish,
Hidden Café Barcelona,€,Y,Y,7.0,4.5,142,4.5,4.5,,42,Barcelona,Certificate of Excellence 2020,,
Brisa Sin Prisa,€€-€€€,N,N,,3.5,145,3.5,4.0,,29,Barcelona,,Spanish,"Dinner, Lunch"
Witty Restaurant,€€€€,N,N,,4.5,111,4.5,4.5,,31,Barcelona,Certificate of Excellence 2020,,Dinner
Auto Rosellon,€€-€€€,Y,Y,7.0,3.5,383,4.0,3.5,,41,Barcelona,,Spanish,"Breakfast, Dinner, Lunch"
Vi Negre,€€-€€€,Y,Y,6.0,4.0,312,4.0,4.5,,19,Barcelona,Certificate of Excellence 2019,Spanish,
König Barcelona Born,€€-€€€,Y,Y,7.0,4.0,341,4.0,4.0,,37,Barcelona,,Spanish,
Sensi Mezzanine Tapas,€€-€€€,Y,Y,7.0,4.5,565,4.5,4.5,,205,Barcelona,Certificate of Excellence 2020,Spanish,
Entre Hores,€,Y,Y,3.0,4.5,192,5.0,5.0,,64,Barcelona,Certificate of Excellence 2020,Spanish,
Txokoa Barcelona,€€-€€€,Y,Y,6.0,4.0,156,4.0,4.0,,8,Barcelona,Certificate of Excellence 2020,,
Restaurante Koh-i-Noor India,€€-€€€,Y,Y,,4.5,711,4.5,4.5,,218,Barcelona,Certificate of Excellence 2020,Indian,
Shanghai 1930,€€-€€€,N,N,7.0,3.5,119,3.5,3.5,3.5,9,Barcelona,,Chinese,"Dinner, Lunch"
Firebug,€€-€€€,Y,Y,7.0,4.5,523,4.5,4.5,,231,Barcelona,Certificate of Excellence 2020,,
Starbucks Sagrada Familia,€€-€€€,N,N,7.0,3.5,117,3.5,3.5,,8,Barcelona,,,Breakfast
Hammock Juice Station,€€-€€€,Y,Y,7.0,4.5,156,4.5,4.5,,58,Barcelona,Certificate of Excellence 2020,,"Breakfast, Lunch"
Alkimia,€€€€,N,Y,5.0,4.5,237,4.5,4.5,,41,Barcelona,,Spanish,
La Reina del Raval,€€-€€€,N,N,,3.0,265,3.0,3.0,3.0,17,Barcelona,,Spanish,"Dinner, Lunch"
Iluzione,€€-€€€,Y,N,6.0,4.0,159,4.5,4.0,,13,Barcelona,Certificate of Excellence 2018,Italian,
Minyam,€€-€€€,Y,Y,,4.0,217,4.0,4.0,,20,Barcelona,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
La turuleca,€€-€€€,N,N,7.0,3.5,198,3.5,3.5,,10,Barcelona,,Peruvian,"Dinner, Lunch"
La Cereria,€€-€€€,Y,Y,6.0,4.5,276,4.5,4.5,4.5,50,Barcelona,Certificate of Excellence 2020,,
LeccaBaffi,€€-€€€,Y,Y,4.0,4.5,354,4.5,4.5,,46,Barcelona,Certificate of Excellence 2020,Italian,
El Tío Pío,€,Y,Y,6.0,4.0,227,4.0,4.5,,51,Barcelona,Certificate of Excellence 2020,,
Casa Lola Via Laietana,€€-€€€,N,N,7.0,3.0,139,3.5,4.0,,10,Barcelona,,Spanish,"Dinner, Lunch"
Il Golfo di Napoli,€€-€€€,Y,N,,4.0,238,4.5,4.0,3.5,22,Barcelona,Certificate of Excellence 2020,Italian,
La Porca,€€-€€€,N,N,6.0,4.0,159,4.5,4.0,,10,Barcelona,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Chennai Masala Dosa,€€-€€€,Y,Y,6.0,4.0,202,4.5,4.5,,71,Barcelona,Certificate of Excellence 2020,Indian,
Via Granados,€€-€€€,Y,Y,7.0,4.0,280,4.0,4.0,,40,Barcelona,Certificate of Excellence 2018,Spanish,
Restaurant Tasca i Vins,€,N,N,,3.0,323,3.0,3.0,3.0,14,Barcelona,,Spanish,"Dinner, Lunch"
Nectari Restaurant,€€€€,Y,Y,7.0,4.0,350,4.0,4.0,3.5,31,Barcelona,,Spanish,
MAMA,€,Y,N,7.0,4.5,190,5.0,4.5,,37,Barcelona,Certificate of Excellence 2020,Italian,
L'Oliana,€€-€€€,N,N,7.0,4.0,151,4.5,4.0,4.0,15,Barcelona,Certificate of Excellence 2018,Spanish,
Alba Granados,€€-€€€,Y,Y,7.0,4.0,891,4.0,4.0,4.0,95,Barcelona,Certificate of Excellence 2016,Spanish,
Maitea Taberna,€€-€€€,Y,N,6.0,4.5,1300,4.5,4.0,4.0,333,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Bar Bodega L' Electricitat,€,N,N,6.0,4.0,211,3.5,3.5,4.0,16,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Cafe del Mar Lounge,€€-€€€,N,N,,3.0,154,3.5,3.0,,7,Barcelona,,Spanish,"Dinner, Lunch"
Ciudad Condal,€€-€€€,N,N,7.0,4.5,10034,4.5,4.0,4.5,2934,Barcelona,Certificate of Excellence 2020,,
Cor Caliu,€€-€€€,Y,Y,6.0,4.0,281,4.5,4.5,4.5,40,Barcelona,Certificate of Excellence 2019,Spanish,"Breakfast, Dinner, Lunch"
Merendero de la Mari,€€-€€€,N,Y,7.0,3.5,1278,4.0,3.5,4.0,93,Barcelona,,Spanish,"Dinner, Lunch"
La Muscleria,€€-€€€,N,Y,7.0,4.0,882,4.0,4.0,4.0,109,Barcelona,Certificate of Excellence 2020,Spanish,
Pampero,€€-€€€,N,Y,7.0,4.5,967,4.5,4.5,4.5,135,Barcelona,Certificate of Excellence 2020,Latin,
Nagano,€€-€€€,Y,Y,7.0,3.5,190,4.0,3.5,3.5,21,Barcelona,Certificate of Excellence 2016,Japanese,
Dionisos,€€-€€€,Y,N,7.0,4.0,111,4.0,4.0,4.0,15,Barcelona,Certificate of Excellence 2014,Greek,
El Raco de l'Aguir,€€-€€€,Y,Y,6.0,4.5,232,4.5,4.5,4.0,17,Barcelona,Certificate of Excellence 2020,Spanish,
El Nou Ramonet,€€-€€€,Y,Y,7.0,4.0,530,4.0,4.0,4.0,56,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Bilbao Restaurante,€€-€€€,N,N,6.0,4.0,341,4.0,4.0,4.0,37,Barcelona,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
Can Cargolet,€€-€€€,N,N,,4.0,197,4.0,4.0,3.5,12,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Gats,€€-€€€,N,N,7.0,4.0,329,4.0,4.0,,56,Barcelona,Certificate of Excellence 2019,,
El Cangrejo Loco,€€-€€€,N,Y,7.0,4.0,1572,4.0,4.0,4.0,130,Barcelona,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Libelina 2,€€-€€€,N,N,5.0,4.5,106,4.5,4.5,4.0,4,Barcelona,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Poké Maoli,€,Y,Y,7.0,4.5,105,4.5,4.0,,31,Barcelona,Certificate of Excellence 2020,Hawaiian,
Bodega Monumental Carrer Marina,€€-€€€,N,Y,6.0,4.0,109,4.0,4.0,,6,Barcelona,,Spanish,
Pulpería Can Lampazas,€€-€€€,N,Y,6.0,4.0,740,4.0,4.5,,26,Barcelona,Certificate of Excellence 2020,Spanish,
The Fish & Chips Shop,€,N,Y,6.0,4.5,181,4.5,4.5,,40,Barcelona,Certificate of Excellence 2020,British,
Dionisos,€,Y,N,7.0,3.5,321,3.5,3.0,3.5,28,Barcelona,,Greek,
Nou Can Marti,€€-€€€,N,N,4.0,3.5,132,3.5,3.5,3.0,4,Barcelona,,Spanish,
Creperie Bretonne Anaick,€€-€€€,N,N,7.0,4.0,150,4.0,3.0,4.0,15,Barcelona,,,
Da Greco,€€-€€€,N,N,6.0,4.0,1260,4.0,4.0,4.0,307,Barcelona,Certificate of Excellence 2019,Italian,
Nemrut,€€-€€€,N,N,7.0,2.5,116,3.0,3.0,3.0,8,Barcelona,,Spanish,
Veggie Garden Gran Vía,€,Y,Y,7.0,4.0,210,4.0,4.0,,48,Barcelona,Certificate of Excellence 2020,Indian,"Dinner, Lunch"
Rocambolesc,€€-€€€,N,N,,4.0,320,4.0,4.0,,28,Barcelona,Certificate of Excellence 2019,,
Fidel Bar,€,Y,N,7.0,4.0,184,4.5,4.0,4.0,12,Barcelona,Certificate of Excellence 2019,Spanish,
Opera Samfaina,€€-€€€,N,N,7.0,3.5,478,3.5,4.0,,45,Barcelona,,Spanish,"Dinner, Lunch"
65 Degrees Barcelona,€€-€€€,Y,N,5.0,5.0,144,4.5,4.5,,73,Barcelona,Certificate of Excellence 2018,Spanish,"Breakfast, Dinner"
Pastelerias Mauri,€€-€€€,N,N,7.0,4.0,727,4.0,3.5,4.0,129,Barcelona,Certificate of Excellence 2018,Spanish,
La Vermuterie,€€-€€€,Y,Y,7.0,4.0,262,4.0,4.0,,11,Barcelona,Certificate of Excellence 2020,Spanish,
Sports Bar Italian Food - Av. Diagonal,€€-€€€,Y,Y,7.0,4.0,228,4.0,4.0,,25,Barcelona,Certificate of Excellence 2020,Italian,
Mayura,€€-€€€,Y,Y,7.0,4.0,1108,4.5,4.0,4.5,261,Barcelona,Certificate of Excellence 2020,Indian,"Dinner, Lunch"
Can Sardi,€€-€€€,N,Y,5.0,4.5,195,4.5,4.5,,56,Barcelona,Certificate of Excellence 2020,Italian,"Dinner, Lunch"
Kawamura,€,Y,N,7.0,4.5,133,4.0,4.5,,9,Barcelona,Certificate of Excellence 2020,Japanese,"Dinner, Lunch"
Wok to Walk,€,Y,Y,7.0,4.5,253,4.5,4.5,,59,Barcelona,Certificate of Excellence 2020,Chinese,"Dinner, Lunch"
Bangkok Cafe,€€-€€€,Y,Y,7.0,4.0,520,4.5,4.0,3.5,81,Barcelona,Certificate of Excellence 2018,Thai,"Dinner, Lunch"
Cal Siscu,€€-€€€,N,N,,4.0,112,4.5,4.0,3.5,4,Barcelona,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
ABaC,€€€€,N,Y,5.0,4.5,2090,4.5,4.5,4.5,396,Barcelona,,,
Antigua,€€€€,N,Y,6.0,4.0,1292,4.0,4.0,4.0,73,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
D.O. vins i platillos,€€-€€€,Y,Y,7.0,3.5,178,4.0,3.5,3.5,14,Barcelona,,Spanish,"Dinner, Lunch"
Restaurant Embat,€€-€€€,Y,Y,6.0,4.5,274,4.5,4.5,4.0,74,Barcelona,Certificate of Excellence 2020,Spanish,
Enoteca Paco Perez,€€€€,Y,N,3.0,4.0,469,4.0,4.0,4.0,132,Barcelona,,Spanish,"Dinner, Lunch"
CocoVail Beer Hall,€€-€€€,Y,Y,7.0,4.5,515,4.5,4.5,,211,Barcelona,Certificate of Excellence 2020,American,"Dinner, Lunch"
Gouthier,€€-€€€,N,Y,6.0,4.0,153,4.0,3.5,3.5,13,Barcelona,Certificate of Excellence 2020,,"Dinner, Lunch"
Granja Elena,€€-€€€,Y,Y,6.0,4.5,352,4.5,4.5,4.0,18,Barcelona,Certificate of Excellence 2020,Spanish,"Breakfast, Lunch"
Gresca,€€€€,N,Y,7.0,4.0,591,4.5,4.0,4.0,99,Barcelona,,Spanish,"Dinner, Lunch"
Hanoi,€€-€€€,N,N,7.0,4.0,155,4.0,3.5,3.0,7,Barcelona,,Thai,"Dinner, Lunch"
Restaurante Balmes Marisquería,€€-€€€,N,Y,7.0,4.5,174,4.5,4.5,4.0,10,Barcelona,Certificate of Excellence 2020,Spanish,
Napoli Prima e Dopo,€€-€€€,N,N,7.0,4.0,261,4.0,4.0,4.0,11,Barcelona,Certificate of Excellence 2018,Italian,"Dinner, Lunch"
Osmosis,€€€€,N,N,6.0,4.5,1493,4.5,4.5,4.5,454,Barcelona,Certificate of Excellence 2020,,
Bar Pinotxo,€€-€€€,N,N,6.0,4.5,1183,4.5,4.0,4.5,315,Barcelona,Certificate of Excellence 2020,,
Samsara,€€-€€€,Y,Y,5.0,4.0,298,4.0,4.0,4.0,35,Barcelona,Certificate of Excellence 2018,Spanish,
teteria la clandestina,€,Y,Y,,4.0,123,4.0,4.0,4.5,25,Barcelona,Certificate of Excellence 2019,,Breakfast
Tivoli 1940,€€-€€€,Y,N,7.0,4.0,157,4.0,4.0,,19,Barcelona,Certificate of Excellence 2020,Spanish,
L'ow Boqueria,€€-€€€,Y,Y,6.0,4.5,149,4.5,4.5,,12,Barcelona,Certificate of Excellence 2018,Spanish,
Mutenroshi Ramen,€,Y,Y,7.0,4.0,737,4.0,4.0,,21,Barcelona,Certificate of Excellence 2020,Japanese,
Ekaterina Restaurant,€€-€€€,N,Y,5.0,4.5,114,4.5,4.5,,16,Barcelona,Certificate of Excellence 2020,Russian,
Matalaranya,€€-€€€,N,Y,7.0,4.5,101,4.0,4.0,,18,Barcelona,Certificate of Excellence 2020,Spanish,
Manairo,€€€€,N,Y,6.0,4.5,574,4.5,4.5,4.0,60,Barcelona,,Spanish,
Hollys Ice Cream,€,N,N,7.0,4.5,137,5.0,4.5,,53,Barcelona,Certificate of Excellence 2020,,Breakfast
Swiit,€,N,Y,6.0,5.0,130,5.0,5.0,,77,Barcelona,Certificate of Excellence 2020,,
Fàbrica Moritz Barcelona,€€-€€€,N,N,7.0,4.0,2838,4.0,3.5,4.0,212,Barcelona,Certificate of Excellence 2020,,
Caldeni,€€€€,N,N,5.0,4.5,184,4.5,4.0,4.0,33,Barcelona,Certificate of Excellence 2016,Spanish,"Dinner, Lunch"
Restaurante Japones Mikasa,€€-€€€,Y,N,6.0,4.0,162,4.0,3.5,3.5,4,Barcelona,,Japanese,"Dinner, Lunch"
Belmonte,€€-€€€,Y,Y,5.0,4.5,120,4.5,4.5,4.5,32,Barcelona,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
My Way,€€-€€€,Y,Y,7.0,4.5,2090,4.5,4.5,4.5,785,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Punta Anguila,€€-€€€,Y,Y,5.0,4.5,111,4.5,4.5,,3,Barcelona,Certificate of Excellence 2020,Spanish,
Restaurante Arola,€€€€,Y,Y,5.0,4.0,626,4.0,4.0,4.0,130,Barcelona,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Canela Restaurant,€€-€€€,N,N,7.0,3.0,320,3.0,3.0,3.0,2,Barcelona,,Spanish,Breakfast
