"price_level","vegan_options","awards","gluten_free","cuisines","original_location","open_days_per_week","avg_rating","total_reviews_count","food","service","atmosphere","excellent","meals"
"medium","N","Not Awarded","N","European","Bages",7,3.5,214,4,3.5,3.5,1,"NoAnswer"
"medium","Y","Certificate of Excellence 2017","N","European","Bages",7,4,147,4,3.5,4,4,"NoAnswer"
"medium","N","Not Awarded","N","Asian","Bages",NA,3.5,128,4,3.5,4.5,1,"LunchDinner"
"medium","N","Certificate of Excellence 2019","N","European","Bages",5,4,123,4,4.5,4.5,9,"LunchDinner"
"medium","Y","Certificate of Excellence 2019","Y","European","Bages",NA,4,407,4,4,4.5,5,"NoAnswer"
"medium","Y","Certificate of Excellence 2018","Y","European","Bages",NA,4.5,106,4.5,4.5,4,57,"AllMeals"
"medium","N","Not Awarded","N","European","Bages",NA,3.5,127,3.5,3.5,3.5,1,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",5,4.5,233,4.5,4.5,4,6,"NoAnswer"
"medium","N","Not Awarded","N","European","Osona",7,3,147,4,3.5,3.5,1,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","N","European","Osona",3,4.5,114,5,5,4.5,7,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",5,4.5,142,4.5,4.5,3.5,3,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",6,4.5,126,5,5,4.5,5,"NoAnswer"
"medium","N","Certificate of Excellence 2018","N","European","Osona",6,4,116,4,4,4,2,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",6,4,373,4.5,4.5,4,31,"LunchDinner"
"medium","Y","Certificate of Excellence 2019","N","European","Osona",6,4,175,4.5,4.5,4,3,"NoAnswer"
"medium","N","Certificate of Excellence 2017","Y","European","Osona",6,4,180,4,4,4,9,"LunchDinner"
"medium","N","Certificate of Excellence 2020","Y","European","Osona",6,4,218,4.5,4,4,12,"LunchDinner"
"medium","N","Not Awarded","N","European","Osona",7,3.5,107,3.5,3.5,3.5,6,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",6,4,319,4.5,4,4.5,21,"NoAnswer"
"medium","N","Certificate of Excellence 2019","Y","European","Osona",6,4,231,4,4,3.5,1,"LunchDinner"
"medium","N","Certificate of Excellence 2015","N","European","Osona",7,3.5,174,3.5,3.5,4,1,"LunchDinner"
"medium","N","Not Awarded","Y","European","Osona",NA,3.5,117,3.5,3.5,3.5,1,"AllMeals"
"medium","N","Not Awarded","N","European","Osona",NA,3.5,111,4,3.5,3.5,5,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",5,4,265,4.5,3.5,4,6,"LunchDinner"
"medium","N","Not Awarded","N","European","Osona",7,3,243,3,3,4,1,"AllMeals"
"low","Y","Certificate of Excellence 2018","N","European","Osona",7,4,159,4,4.5,4.5,1,"AllMeals"
"medium","Y","Not Awarded","N","Asian","Osona",7,3.5,226,4,4,4,1,"NoAnswer"
"medium","Y","Certificate of Excellence 2019","Y","Others","Osona",6,4.5,110,4.5,4,4,6,"NoAnswer"
"medium","Y","Certificate of Excellence 2018","N","European","Osona",5,4,103,4,4,4,6,"NoAnswer"
"medium","N","Certificate of Excellence 2018","N","European","Osona",6,4.5,102,4,4.5,4,1,"BreakfastLunch"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",NA,4.5,257,4.5,4.5,4,10,"NoAnswer"
"medium","N","Not Awarded","N","European","Osona",NA,4,172,4,4,4,12,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Osona",6,4.5,334,4.5,4.5,4,24,"NoAnswer"
"medium","Y","Certificate of Excellence 2019","Y","European","Alt Penedès",NA,4,126,4,4,4,2,"NoAnswer"
"medium","N","Certificate of Excellence 2020","Y","European","Alt Penedès",6,4.5,101,4.5,4.5,4,2,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Alt Penedès",6,4,561,4,4,4,16,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Alt Penedès",6,4,224,4,4,4,12,"AllMeals"
"medium","Y","Certificate of Excellence 2020","Y","European","Alt Penedès",7,4,367,4.5,4.5,4.5,29,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Alt Penedès",6,4,261,4,4.5,4,15,"NoAnswer"
"high","Y","Not Awarded","N","European","Alt Penedès",6,4.5,309,4.5,4.5,4,41,"NoAnswer"
"high","N","Certificate of Excellence 2019","Y","European","Alt Penedès",7,4.5,138,4.5,4,4,5,"LunchDinner"
"medium","N","Not Awarded","N","European","Alt Penedès",7,3.5,149,4,3.5,3,3,"NoAnswer"
"high","N","Certificate of Excellence 2019","Y","European","Alt Penedès",6,4.5,282,4.5,4.5,4.5,26,"NoAnswer"
"medium","N","Certificate of Excellence 2020","N","European","Alt Penedès",7,4,151,4,3.5,4,2,"NoAnswer"
"medium","N","Certificate of Excellence 2020","Y","European","Alt Penedès",NA,4.5,167,4.5,4.5,4,1,"LunchDinner"
"medium","N","Certificate of Excellence 2020","Y","Latin American","Alt Penedès",6,4.5,237,4.5,4.5,4,8,"NoAnswer"
"medium","Y","Certificate of Excellence 2017","Y","European","Alt Penedès",6,4,128,4,4,3.5,0,"LunchDinner"
"low","N","Certificate of Excellence 2017","N","European","Alt Penedès",7,4,132,4,4,3,2,"Others"
"medium","Y","Certificate of Excellence 2020","Y","European","Alt Penedès",5,4.5,167,4.5,4,4.5,10,"NoAnswer"
"medium","N","Certificate of Excellence 2020","Y","European","Alt Penedès",6,4,109,4.5,4.5,4.5,2,"LunchDinner"
"medium","N","Not Awarded","N","Latin American","Maresme",6,3.5,104,3.5,3.5,3.5,3,"LunchDinner"
"medium","N","Certificate of Excellence 2018","N","European","Maresme",6,3.5,266,4,3,3.5,5,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",6,4,177,4.5,4,3.5,5,"NoAnswer"
"medium","N","Certificate of Excellence 2018","N","Asian","Maresme",6,4,103,4.5,4.5,4.5,3,"LunchDinner"
"medium","Y","Not Awarded","Y","European","Maresme",7,3.5,357,3.5,4,3.5,3,"NoAnswer"
"medium","N","Certificate of Excellence 2015","Y","European","Maresme",7,4,507,4,3.5,4,9,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",6,3.5,458,3.5,4,3.5,6,"LunchDinner"
"medium","N","Certificate of Excellence 2020","Y","European","Maresme",6,4.5,160,4.5,4.5,4.5,6,"LunchDinner"
"medium","N","Certificate of Excellence 2019","N","European","Maresme",5,4,105,4,4,4,1,"Others"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",6,4.5,118,4.5,4.5,4.5,2,"LunchDinner"
"low","N","Certificate of Excellence 2020","N","European","Maresme",6,4.5,117,4.5,4.5,4,1,"NoAnswer"
"medium","Y","Certificate of Excellence 2018","Y","European","Vallès Occidental",3,4,102,4.5,4.5,4.5,53,"AllMeals"
"medium","N","Certificate of Excellence 2019","Y","European","Maresme",6,4,112,4,4,4.5,1,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",7,4.5,150,4,4.5,4,86,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",6,4,253,4,4,4.5,7,"LunchDinner"
"medium","N","Not Awarded","Y","European","Maresme",7,3,228,3.5,3,3,0,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",NA,3.5,142,4,3,4,1,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",7,3,164,4,3.5,3.5,8,"LunchDinner"
"medium","N","Not Awarded","Y","European","Maresme",7,3.5,194,4,3.5,4,4,"NoAnswer"
"high","N","Not Awarded","N","European","Baix Llobregat",1,4.5,117,4.5,4.5,4.5,7,"NoAnswer"
"medium","N","Certificate of Excellence 2016","N","European","Baix Llobregat",5,3.5,165,3.5,3.5,3.5,46,"NoAnswer"
"medium","Y","Certificate of Excellence 2019","Y","European","Vallès Oriental",6,4,199,4,4,4.5,101,"NoAnswer"
"medium","Y","Not Awarded","N","European","Vallès Occidental",7,3.5,155,4,3.5,4,4,"AllMeals"
"medium","Y","Certificate of Excellence 2020","N","European","Vallès Occidental",6,4,154,4.5,4.5,4.5,7,"NoAnswer"
