price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,awards,cuisine,top_tag
€€-€€€,Y,N,7.0,3.5,133,4.0,3.5,4.0,1,Montcada i Reixac,,Mediterranean,Mid-range
€,N,N,7.0,3.5,127,3.5,3.0,3.0,21,Montcada i Reixac,,Mediterranean,Cheap Eats
€€-€€€,N,N,,4.0,102,4.0,4.0,,39,Montcada i Reixac,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",Seafood,Mid-range
€€-€€€,Y,Y,6.0,4.5,161,4.5,4.5,,5,Berga,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€€€,Y,Y,6.0,4.5,202,4.5,4.5,4.5,9,Berga,"Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Comfortable restaurant",Mediterranean,Fine Dining
€€-€€€,Y,Y,6.0,4.0,562,4.5,4.5,4.5,26,Berga,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",Mediterranean,Mid-range
€€-€€€,Y,Y,4.0,4.5,143,4.0,4.0,,3,Berga,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",Italian,Mid-range
€€-€€€,N,N,3.0,4.5,123,4.5,4.5,4.5,14,Berga,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",European,Mid-range
€€-€€€,N,N,6.0,4.0,110,4.5,4.0,,1,Berga,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",Barbecue,Mid-range
€€-€€€,N,N,,3.5,128,3.5,3.5,,0,Berga,Certificate of Excellence 2017,Spanish,Mid-range
€,Y,Y,7.0,4.5,108,4.5,4.5,,5,Berga,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Cafe,Cheap Eats
