restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g1063737-d8566354,Barmutet,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",Spain,Catalonia,Province of Barcelona,,"Carrer De La Ciutat, 2, 08500, Vic Spain",41.929935,2.2548,Claimed,"Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Simple restaurant",#17 of 155 Restaurants in Vic,#17 of 183 places to eat in Vic,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Lunch, Dinner, Brunch","Mediterranean, European, Spanish",,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",N,N,N,,,,,4,172,English,16,12,4,0,0,0,4,4,3.5,,
g1063737-d8779903,Vicfood,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",Spain,Catalonia,Province of Barcelona,,"Calle Del Cloquer, Nº 1 In the middle of the Historic Center, between Vic's Cathedral & the Roman Temple, 08500, Vic Spain",41.928596,2.256221,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#4 of 155 Restaurants in Vic,#4 of 183 places to eat in Vic,"Mid-range, International, Mediterranean, European",€€-€€€,€20-€40,,"International, European, Contemporary, Fusion, Gastropub, Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [""19:30-00:00""], ""Wed"": [""19:30-00:00""], ""Thu"": [""19:30-00:00""], ""Fri"": [""19:30-00:00""], ""Sat"": [""13:00-16:00"", ""19:30-00:00""], ""Sun"": [""13:00-16:00""]}",6,28.5,7,4.5,334,English,32,24,3,2,2,1,4.5,4.5,4.5,,
g1063738-d10394989,Guga,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Avenida Lluis Companys, 2, 08720 Vilafranca del Penedes Spain",41.33865,1.703568,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018",#17 of 116 Restaurants in Vilafranca del Penedes,#17 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,€14-€25,,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,,,,,4,126,English,4,2,1,0,0,1,4,4,4,,
g1063738-d11955143,La vinya del Mar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Passatge camp del rolls, 4, 08720 Vilafranca del Penedes Spain",41.34353,1.702167,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#11 of 116 Restaurants in Vilafranca del Penedes,#11 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,€14-€30,,"Mediterranean, Spanish","Gluten Free Options, Vegetarian Friendly",,Y,N,Y,"{""Mon"": [], ""Tue"": [""13:00-16:00""], ""Wed"": [""13:00-16:00"", ""20:30-23:00""], ""Thu"": [""13:00-16:00"", ""20:30-23:00""], ""Fri"": [""13:00-16:00"", ""20:30-23:00""], ""Sat"": [""13:00-16:00"", ""20:30-23:00""], ""Sun"": [""13:00-16:00""]}",6,28,10,4.5,101,English,5,2,2,1,0,0,4.5,4.5,4,,
g1063738-d2330041,La Fabrica,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Calle Hermenegild Clascar, 4, 08720 Vilafranca del Penedes Spain",41.346138,1.696132,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2013",#5 of 116 Restaurants in Vilafranca del Penedes,#5 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Italian, Japanese, Mediterranean",€€-€€€,,"Lunch, Dinner, After-hours","Italian, Japanese, Mediterranean, Sushi, European, Spanish, Asian, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""13:15-15:30"", ""20:00-23:00""], ""Tue"": [""13:15-15:30"", ""20:00-23:00""], ""Wed"": [""13:15-15:30"", ""20:00-23:00""], ""Thu"": [""13:15-15:30"", ""20:00-23:00""], ""Fri"": [""13:15-15:30"", ""20:00-23:00""], ""Sat"": [""13:15-15:30"", ""20:00-23:00""], ""Sun"": []}",6,31.5,12,4,561,English,41,16,15,5,4,1,4,4,4,4,
g1063738-d3372499,Platets per picar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Avenida de Barcelona, 41, 08720 Vilafranca del Penedes Spain",41.346024,1.702533,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2015",#13 of 116 Restaurants in Vilafranca del Penedes,#13 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Breakfast, Lunch, Dinner, Drinks","Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""08:30-16:30""], ""Tue"": [""08:30-16:30""], ""Wed"": [], ""Thu"": [""08:30-16:30""], ""Fri"": [""08:30-16:30""], ""Sat"": [""08:30-16:30""], ""Sun"": [""09:00-16:30""]}",6,47.5,6,4,224,English,20,12,6,1,0,1,4,4,3.5,4,
g1063738-d3382418,El Cigro d'Or,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Plaza Vall del Castell, 17, 08720 Vilafranca del Penedes Spain",41.34771,1.696303,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#3 of 116 Restaurants in Vilafranca del Penedes,#3 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Mediterranean, European, Spanish",€€-€€€,€15-€40,,"Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""13:00-16:00""], ""Tue"": [""13:00-16:00""], ""Wed"": [""13:00-16:00""], ""Thu"": [""13:00-16:00""], ""Fri"": [""13:00-16:00"", ""21:00-22:30""], ""Sat"": [""09:00-16:00"", ""13:00-16:00"", ""21:00-22:30""], ""Sun"": [""13:00-16:00""]}",7,31,10,4,367,English,40,29,9,1,0,1,4.5,4.5,4,4.5,
g1063738-d3432038,Centric Gastro-Bar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Rambla Nostra Senyora 10, 08720 Vilafranca del Penedes Spain",41.34529,1.700096,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#9 of 116 Restaurants in Vilafranca del Penedes,#9 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Mediterranean, European, Spanish",€€-€€€,€12-€25,,"Mediterranean, European, Spanish, Diner, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [""08:00-01:00""], ""Wed"": [""08:00-01:00""], ""Thu"": [""08:00-01:00""], ""Fri"": [""08:00-02:30""], ""Sat"": [""08:00-02:30""], ""Sun"": [""08:30-01:00""]}",6,104.5,6,4,261,English,29,15,10,3,0,1,4,4.5,4,4,
g1063738-d3487882,Cal Ton,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Carrer Del Casal, 8, 08720 Vilafranca del Penedes Spain",41.344063,1.700569,Claimed,"Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Comfortable restaurant",#2 of 116 Restaurants in Vilafranca del Penedes,#2 of 134 places to eat in Vilafranca del Penedes,"Fine Dining, Mediterranean, European, Spanish",€€€€,€22-€38,,"Spanish, Mediterranean, European","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [], ""Tue"": [""13:00-15:30""], ""Wed"": [""13:00-15:30"", ""20:30-22:30""], ""Thu"": [""13:00-15:30"", ""20:30-22:30""], ""Fri"": [""13:00-15:30"", ""20:30-22:30""], ""Sat"": [""13:00-15:30"", ""20:30-22:30""], ""Sun"": [""13:00-15:30""]}",6,23,10,4.5,309,English,57,41,12,3,0,1,4.5,4.5,4,4,
g1063738-d4301924,Casa Joan,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Placa de l'Estacio, 8 In Front Renfe Station, 08720 Vilafranca del Penedes Spain",41.34497,1.703029,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#14 of 116 Restaurants in Vilafranca del Penedes,#14 of 134 places to eat in Vilafranca del Penedes,"Fine Dining, Mediterranean, European, Vegetarian Friendly",€€€€,,"Dinner, After-hours, Lunch","Mediterranean, European","Gluten Free Options, Vegetarian Friendly",,Y,N,Y,"{""Mon"": [""13:00-16:00""], ""Tue"": [""13:00-16:00""], ""Wed"": [""13:00-16:00""], ""Thu"": [""13:00-16:00""], ""Fri"": [""13:00-16:00""], ""Sat"": [""13:00-16:00""], ""Sun"": [""13:00-16:00""]}",7,21,7,4.5,138,English,7,5,2,0,0,0,4.5,4,3.5,4,
g1063738-d4401432,La Llar de la Vila,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Rambla de Nostra Senyora, 39, 08720 Vilafranca del Penedes Spain",41.345238,1.700001,Claimed,,#38 of 116 Restaurants in Vilafranca del Penedes,#38 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Italian, Pizza, Vegetarian Friendly",€€-€€€,€7-€25,,"Italian, Pizza",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""19:30-00:00""], ""Tue"": [""19:30-00:00""], ""Wed"": [""19:30-00:00""], ""Thu"": [""19:30-00:00""], ""Fri"": [""19:30-00:00""], ""Sat"": [""13:00-15:00"", ""19:30-00:00""], ""Sun"": [""19:30-00:00""]}",7,33.5,8,3.5,149,English,6,3,3,0,0,0,4,3.5,3.5,3,
g1063738-d4468038,En Rima Culinary Space,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"BP-2121 Km 0,5 Calle S Marti Sarroca Cava & Hotel Mastinell, 08720 Vilafranca del Penedes Spain",41.352818,1.683866,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#4 of 116 Restaurants in Vilafranca del Penedes,#4 of 134 places to eat in Vilafranca del Penedes,"Fine Dining, Mediterranean, European, Spanish",€€€€,€22-€55,,"Spanish, Mediterranean, European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [], ""Tue"": [""13:30-15:30"", ""20:00-22:30""], ""Wed"": [""13:30-15:30"", ""20:00-22:30""], ""Thu"": [""13:30-15:30"", ""20:00-22:30""], ""Fri"": [""13:30-15:30"", ""20:00-22:30""], ""Sat"": [""13:30-15:30"", ""20:00-22:30""], ""Sun"": [""13:30-15:30""]}",6,24.5,11,4.5,282,English,31,26,4,1,0,0,4.5,4.5,4,4.5,
g1063738-d4799048,7 de Nit,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Carrer Tossa de Mar, 12, 08720 Vilafranca del Penedes Spain",41.34095,1.696098,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2015",#18 of 116 Restaurants in Vilafranca del Penedes,#18 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,€7-€14,,"Italian, Pizza, Mediterranean, Spanish",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""20:00-00:00""], ""Tue"": [""20:00-00:00""], ""Wed"": [""20:00-00:00""], ""Thu"": [""20:00-00:00""], ""Fri"": [""20:00-00:00""], ""Sat"": [""20:00-00:00""], ""Sun"": [""20:00-00:00""]}",7,28,7,4,151,English,2,2,0,0,0,0,4,3.5,4,4,
g1063738-d5011236,Restaurant Pizzeria Tresviso,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Rambla La Girada 38, 08720 Vilafranca del Penedes Spain",41.33833,1.701646,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#6 of 116 Restaurants in Vilafranca del Penedes,#6 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Italian, Pizza, European",€€-€€€,,"Lunch, Dinner","Italian, Pizza, European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,,,,,4.5,167,English,2,1,0,1,0,0,4.5,4.5,4,4,
g1063738-d6022403,"Restaurante ""La Martina""","[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Calle Sant Pere, 39, 08720 Vilafranca del Penedes Spain",41.343735,1.696116,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 116 Restaurants in Vilafranca del Penedes,#1 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Steakhouse, Latin, Barbecue",€€-€€€,€15-€25,,"Steakhouse, Latin, Argentinian, Barbecue",Gluten Free Options,,N,N,Y,"{""Mon"": [], ""Tue"": [""13:00-16:00""], ""Wed"": [""13:00-16:00"", ""21:00-00:00""], ""Thu"": [""13:00-16:00"", ""21:00-00:00""], ""Fri"": [""13:00-16:00"", ""21:00-00:00""], ""Sat"": [""13:00-16:00"", ""21:00-00:00""], ""Sun"": [""13:00-16:00""]}",6,30,10,4.5,237,English,14,8,3,0,1,2,4.5,4.5,4,4,
g1063738-d6351500,Can Belles,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Amalia Soler, 179, 08720 Vilafranca del Penedes Spain",41.33899,1.693075,Claimed,"Certificate of Excellence 2017, Certificate of Excellence 2016",#16 of 116 Restaurants in Vilafranca del Penedes,#16 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Lunch, Dinner","Spanish, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [""13:00-15:30""], ""Wed"": [""13:00-15:30""], ""Thu"": [""13:00-15:30""], ""Fri"": [""13:00-15:30"", ""20:45-23:30""], ""Sat"": [""13:00-15:30"", ""20:45-23:30""], ""Sun"": [""13:00-15:30""]}",6,20.5,8,4,128,English,1,0,1,0,0,0,4,4,4,3.5,
g1063738-d6555654,Pizzeria Cal Turbo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Calle Santa Clara Num. 36, 08720 Vilafranca del Penedes Spain",41.346886,1.70221,Claimed,"Certificate of Excellence 2017, Certificate of Excellence 2016",#29 of 116 Restaurants in Vilafranca del Penedes,#29 of 134 places to eat in Vilafranca del Penedes,"Cheap Eats, Italian, Pizza, European",€,€6-€25,Dinner,"Italian, Pizza, European",,,N,N,N,"{""Mon"": [""19:00-00:00""], ""Tue"": [""19:00-00:00""], ""Wed"": [""19:00-00:00""], ""Thu"": [""19:00-00:00""], ""Fri"": [""19:00-00:00""], ""Sat"": [""19:00-00:00""], ""Sun"": [""19:00-00:00""]}",7,35,7,4,132,English,2,2,0,0,0,0,4,4,3.5,3,
g1063738-d7049600,El Convent,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"C/ La Fruita, 12 Cerca del Ayuntamiento y la Basílica de Santa Maria, 08720 Vilafranca del Penedes Spain",41.347664,1.698414,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#8 of 116 Restaurants in Vilafranca del Penedes,#8 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Mediterranean, European, Spanish",€€-€€€,€17-€33,,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""19:00-22:30""], ""Thu"": [""19:00-22:30""], ""Fri"": [""19:00-22:30""], ""Sat"": [""13:00-16:30"", ""19:00-22:30""], ""Sun"": [""13:00-16:30""]}",5,21,6,4.5,167,English,11,10,1,0,0,0,4.5,4,4,4.5,
g1063738-d8094552,La Barraca Del Delta,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilafranca del Penedes""]",Spain,Catalonia,Province of Barcelona,,"Calle Pere el Gran, 7, 08720 Vilafranca del Penedes Spain",41.342182,1.69469,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017",#20 of 116 Restaurants in Vilafranca del Penedes,#20 of 134 places to eat in Vilafranca del Penedes,"Mid-range, Seafood, Mediterranean, Spanish",€€-€€€,,"Lunch, Dinner","Seafood, Mediterranean, Spanish",Gluten Free Options,,N,N,Y,"{""Mon"": [], ""Tue"": [""12:00-17:00"", ""20:00-00:00""], ""Wed"": [""12:00-17:00"", ""20:00-00:00""], ""Thu"": [""12:00-17:00"", ""20:00-00:00""], ""Fri"": [""12:00-17:00"", ""20:00-00:00""], ""Sat"": [""08:00-17:00"", ""20:00-00:00""], ""Sun"": [""12:00-18:00""]}",6,55,11,4,109,English,2,2,0,0,0,0,4.5,4.5,4.5,,
g1063742-d10622160,La Niña Santa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Calle Cami Ral 10, 08340 Vilassar de Mar Spain",41.502533,2.393442,Claimed,,#45 of 50 Restaurants in Vilassar de Mar,#46 of 60 places to eat in Vilassar de Mar,"Mid-range, Mexican, Latin, South American",€€-€€€,€5-€25,"Lunch, Dinner","Mexican, Latin, South American, Central American",,,N,N,N,"{""Mon"": [""18:00-00:00""], ""Tue"": [], ""Wed"": [""18:00-00:00""], ""Thu"": [""18:00-00:00""], ""Fri"": [""18:00-01:00""], ""Sat"": [""18:00-01:00""], ""Sun"": [""13:00-16:00"", ""19:00-00:00""]}",6,40,7,3.5,104,English,6,3,1,2,0,0,3.5,3.5,3,,
g1063742-d1074944,Cal tito,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,Vilassar de Mar Spain,41.50251,2.392667,Unclaimed,Certificate of Excellence 2018,#13 of 50 Restaurants in Vilassar de Mar,#13 of 60 places to eat in Vilassar de Mar,"Mid-range, Seafood, Mediterranean, Spanish",€€-€€€,,"Lunch, Dinner, After-hours","Seafood, Mediterranean, Spanish",,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Highchairs Available",N,N,N,"{""Mon"": [""12:00-16:00"", ""20:30-00:00""], ""Tue"": [""12:00-16:00"", ""20:30-00:00""], ""Wed"": [], ""Thu"": [""12:00-16:00"", ""20:30-00:00""], ""Fri"": [""12:00-16:00"", ""20:30-00:00""], ""Sat"": [""12:00-16:00"", ""20:30-00:00""], ""Sun"": [""12:00-16:00"", ""20:30-00:00""]}",6,45,12,3.5,266,English,6,5,0,0,0,1,4,3,3.5,3.5,
g1063742-d1100630,El Terral,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Carrer Sant Joan, 46, 08340 Vilassar de Mar Spain",41.503517,2.392233,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017",#3 of 50 Restaurants in Vilassar de Mar,#3 of 60 places to eat in Vilassar de Mar,"Mid-range, Mediterranean, European, Spanish",€€-€€€,€20-€35,,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [""13:00-15:30""], ""Wed"": [""13:00-15:30""], ""Thu"": [""13:30-15:30""], ""Fri"": [""13:00-15:30""], ""Sat"": [""13:00-15:30""], ""Sun"": [""13:00-15:30""]}",6,14.5,6,4,177,English,6,5,0,1,0,0,4.5,4,4,3.5,
g1063742-d2340515,nami,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Miguel Borotau 5, 08340 Vilassar de Mar Spain",41.503296,2.393447,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#9 of 50 Restaurants in Vilassar de Mar,#9 of 60 places to eat in Vilassar de Mar,"Mid-range, Japanese, Sushi, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Japanese, Sushi",Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [""20:30-23:30""], ""Wed"": [""20:30-23:30""], ""Thu"": [""20:30-23:30""], ""Fri"": [""20:30-23:30""], ""Sat"": [""20:30-23:30""], ""Sun"": [""20:30-23:30""]}",6,18,6,4,103,English,5,3,0,2,0,0,4.5,4.5,4,4.5,
g1063742-d3809667,Atlantida,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Av. Carles III, 48-54, 08340 Vilassar de Mar Spain",41.5067,2.389308,Claimed,,#7 of 50 Restaurants in Vilassar de Mar,#7 of 60 places to eat in Vilassar de Mar,"Mid-range, Italian, International, Mediterranean",€€-€€€,€7-€35,,"Italian, Mediterranean, European, Spanish, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""07:00-00:00""], ""Tue"": [""07:00-00:00""], ""Wed"": [""07:00-00:00""], ""Thu"": [""07:00-00:00""], ""Fri"": [""07:00-00:00""], ""Sat"": [""07:00-01:00""], ""Sun"": [""07:00-17:00""]}",7,113,7,3.5,357,English,10,3,3,3,1,0,3.5,4,3.5,3.5,
g1063742-d4492749,Espinaler,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Avenida del Progres, 47 Pol. Ind. Els Garrofers, 08340 Vilassar de Mar Spain",41.51364,2.384811,Claimed,Certificate of Excellence 2015,#2 of 50 Restaurants in Vilassar de Mar,#2 of 60 places to eat in Vilassar de Mar,"Mid-range, Mediterranean, Spanish, Gluten Free Options",€€-€€€,,"Lunch, Dinner, Drinks, After-hours","Mediterranean, Spanish",Gluten Free Options,,N,N,Y,"{""Mon"": [""07:00-22:00""], ""Tue"": [""07:00-22:00""], ""Wed"": [""07:00-22:00""], ""Thu"": [""07:00-22:00""], ""Fri"": [""07:00-23:00""], ""Sat"": [""08:00-22:00""], ""Sun"": [""08:00-16:00""]}",7,98,7,4,507,English,24,9,8,5,1,1,4,3.5,3.5,4,
g1063742-d4928884,Restaurant Palomares,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Rn II, 08340 Vilassar de Mar Spain",41.505554,2.399986,Unclaimed,,#5 of 50 Restaurants in Vilassar de Mar,#5 of 60 places to eat in Vilassar de Mar,"Mid-range, Seafood, Mediterranean, European",€€-€€€,,"Lunch, Dinner, After-hours","Seafood, Mediterranean, European, Spanish, Catalan",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""09:30-16:00"", ""20:30-23:00""], ""Tue"": [""09:30-16:00"", ""20:30-23:00""], ""Wed"": [], ""Thu"": [""09:30-16:00"", ""20:30-23:00""], ""Fri"": [""09:30-16:00"", ""20:30-23:00""], ""Sat"": [""09:30-16:00"", ""20:30-23:00""], ""Sun"": [""09:30-16:00""]}",6,51.5,11,3.5,458,English,24,6,12,4,1,1,3.5,4,3.5,3.5,
g1063742-d5865147,Can Pa Amb Tomaquet,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Carrer Santa Isabel, 20, 08340 Vilassar de Mar Spain",41.503887,2.391192,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#6 of 50 Restaurants in Vilassar de Mar,#6 of 60 places to eat in Vilassar de Mar,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner, After-hours","Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [""20:30-23:30""], ""Tue"": [""20:30-23:30""], ""Wed"": [], ""Thu"": [""20:30-23:30""], ""Fri"": [""20:30-23:30""], ""Sat"": [""13:30-16:00"", ""20:30-23:30""], ""Sun"": [""13:30-16:00""]}",6,20,7,4.5,160,English,7,6,1,0,0,0,4.5,4.5,4.5,4.5,
g1063742-d6975368,Can França,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vilassar de Mar""]",Spain,Catalonia,Province of Barcelona,,"Casa de Camp 6, 08340 Vilassar de Mar Spain",41.49749,2.37549,Unclaimed,"Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016",#11 of 50 Restaurants in Vilassar de Mar,#11 of 60 places to eat in Vilassar de Mar,"Mid-range, Mediterranean, Spanish",€€-€€€,,Lunch,"Mediterranean, Spanish",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Outdoor Seating",N,N,N,"{""Mon"": [""13:00-16:00""], ""Tue"": [""13:00-16:00""], ""Wed"": [""13:00-16:00""], ""Thu"": [""13:00-16:00""], ""Fri"": [""13:00-16:00""], ""Sat"": [], ""Sun"": []}",5,15,5,4,105,English,2,1,0,1,0,0,4,4,4.5,,
