restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g1047912-d4772036,Forn de Pa l'Era,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]",Spain,Catalonia,Province of Barcelona,,"Placa Era Nova 1, 08569 Rupit Spain",42.026028,2.464952,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 1 Bakery in Rupit,#4 of 12 places to eat in Rupit,"Cheap Eats, Bakeries, Cafe",€,,"Breakfast, Brunch",Cafe,,"Wheelchair Accessible, Takeout, Seating, Full Bar",N,N,N,"{""Mon"": [""09:00-19:00""], ""Tue"": [""09:00-19:00""], ""Wed"": [""09:00-19:00""], ""Thu"": [""09:00-19:00""], ""Fri"": [""09:00-19:00""], ""Sat"": [""08:00-19:00""], ""Sun"": [""08:00-19:00""]}",7,72,7,4,146,English,13,10,3,0,0,0,4.5,4,4,,
g1047912-d6641774,Restaurant Albert,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]",Spain,Catalonia,Province of Barcelona,,"Cami Sant Joan de Fabregues 4, Rupit Spain",42.02528,2.464743,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#3 of 10 Restaurants in Rupit,#3 of 12 places to eat in Rupit,"Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,,"Lunch, Dinner","Mediterranean, Spanish, Catalan",Vegetarian Friendly,,Y,N,N,,,,,4,131,English,12,7,3,0,0,2,4,4,4,,
g1058610-d12342785,Codigo 14 Gastrobar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"Plaza Mayor Número 6 Local 5, 08100 Mollet del Valles Spain",41.53603,2.21067,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",#2 of 89 Restaurants in Mollet del Valles,#2 of 102 places to eat in Mollet del Valles,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Lunch, Dinner, Drinks","Mediterranean, European, Spanish, Contemporary, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""13:00-15:30""], ""Tue"": [], ""Wed"": [""13:00-15:30""], ""Thu"": [""13:00-15:30""], ""Fri"": [""13:00-15:30"", ""20:00-22:30""], ""Sat"": [""13:00-15:30"", ""20:00-22:30""], ""Sun"": [""13:00-15:30""]}",6,20,8,4.5,206,English,6,5,1,0,0,0,4.5,4.5,4.5,,
g1058610-d14934773,Socarrat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"Carrer Club de Tennis Mollet el Calderi, 08100 Mollet del Valles Spain",41.52825,2.209085,Unclaimed,,#18 of 89 Restaurants in Mollet del Valles,#18 of 102 places to eat in Mollet del Valles,"Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,,"Lunch, Dinner","Mediterranean, Spanish, Catalan",Gluten Free Options,,N,N,Y,"{""Mon"": [], ""Tue"": [""13:00-16:00""], ""Wed"": [""13:00-16:00"", ""20:00-23:00""], ""Thu"": [""13:00-16:00"", ""20:00-23:00""], ""Fri"": [""13:00-16:00"", ""20:00-23:30""], ""Sat"": [""13:00-16:30"", ""20:00-23:30""], ""Sun"": [""13:00-16:30""]}",6,32,10,4,120,English,2,1,1,0,0,0,4,3,3.5,,
g1058610-d14989729,Kaliurestaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"Quarter Nord, 2-4, 08100 Mollet del Valles Spain",41.55542,2.227315,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#1 of 89 Restaurants in Mollet del Valles,#1 of 102 places to eat in Mollet del Valles,"Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,€12-€60,,"Mediterranean, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""10:00-16:00""], ""Thu"": [""10:00-16:00""], ""Fri"": [""10:00-16:00"", ""20:00-21:30""], ""Sat"": [""10:00-16:00"", ""19:30-21:30""], ""Sun"": [""10:00-16:00""]}",5,33.5,7,4.5,185,All languages,185,146,30,2,2,5,5,4.5,4.5,,
g1058610-d2264373,Saint Germain Des Pres,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"C/ Vicenc Plantada, 12,, 08100 Mollet del Valles Spain",41.54027,2.212556,Unclaimed,"Certificate of Excellence 2017, Certificate of Excellence 2016",#11 of 89 Restaurants in Mollet del Valles,#11 of 102 places to eat in Mollet del Valles,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Lunch, Dinner","Mediterranean, European, Spanish",,"Reservations, Seating, Serves Alcohol, Table Service, Full Bar",N,N,N,"{""Mon"": [""13:00-16:00""], ""Tue"": [""13:00-16:00"", ""20:00-23:00""], ""Wed"": [""13:00-16:00"", ""20:00-23:00""], ""Thu"": [""13:00-16:00"", ""20:00-23:00""], ""Fri"": [""13:00-16:00"", ""20:00-00:00""], ""Sat"": [""13:00-16:00"", ""20:00-00:00""], ""Sun"": [""13:00-16:00""]}",7,38,12,4,104,English,3,1,2,0,0,0,4,4.5,3.5,4.5,
g1058610-d2313652,Pitapes,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"Carrer Jacint Verdeguer 6, 08100 Mollet del Valles Spain",41.536,2.214839,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#4 of 89 Restaurants in Mollet del Valles,#4 of 102 places to eat in Mollet del Valles,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Lunch, Dinner, After-hours","Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""13:00-00:00""], ""Tue"": [""13:00-00:00""], ""Wed"": [""13:00-00:00""], ""Thu"": [""13:00-00:00""], ""Fri"": [""13:00-00:00""], ""Sat"": [""13:00-00:00""], ""Sun"": [""13:00-00:00""]}",7,77,7,4,491,English,17,6,10,1,0,0,4,4,3.5,4,"tapas, tartare, restaurant located, lot, barcelona"
g1058610-d2710836,El Vell Nou,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"Antonia Canet 6, 08100 Mollet del Valles Spain",41.538353,2.210844,Claimed,,#14 of 89 Restaurants in Mollet del Valles,#14 of 102 places to eat in Mollet del Valles,"Mid-range, Mediterranean, Vegetarian Friendly, Vegan Options",€€-€€€,,"Lunch, Dinner",Mediterranean,"Vegetarian Friendly, Gluten Free Options, Vegan Options",,Y,Y,Y,"{""Mon"": [""13:00-15:30""], ""Tue"": [""13:00-15:30""], ""Wed"": [""13:00-15:30""], ""Thu"": [""13:00-15:30""], ""Fri"": [""13:00-15:30"", ""20:30-23:00""], ""Sat"": [""13:30-15:30"", ""20:30-23:00""], ""Sun"": []}",6,19.5,8,4,198,English,2,1,1,0,0,0,4,3.5,3.5,3.5,
g1058610-d3645256,Les Pruneres,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"La Pau 48, 08100 Mollet del Valles Spain",41.53744,2.215769,Unclaimed,,#17 of 89 Restaurants in Mollet del Valles,#17 of 102 places to eat in Mollet del Valles,"Mid-range, Mediterranean, Spanish",€€-€€€,,"Lunch, Dinner, After-hours","Spanish, Mediterranean",,"Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",N,N,N,"{""Mon"": [], ""Tue"": [""13:00-16:00""], ""Wed"": [""13:00-16:00""], ""Thu"": [""13:00-16:00"", ""20:00-00:00""], ""Fri"": [""13:00-16:00"", ""20:00-00:00""], ""Sat"": [""13:00-16:00"", ""20:00-00:00""], ""Sun"": [""13:00-16:00""]}",6,30,9,3.5,119,English,3,0,3,0,0,0,4,4,3.5,3.5,
g1058610-d3662106,Restaurante La Marieta,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Spain,Catalonia,Province of Barcelona,,"Plaza Esglesia, 9, 08100 Mollet del Valles Spain",41.53962,2.213603,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#3 of 89 Restaurants in Mollet del Valles,#3 of 102 places to eat in Mollet del Valles,"Mid-range, European, Spanish, Vegetarian Friendly",€€-€€€,€10-€25,,"Spanish, European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [""13:00-16:00""], ""Tue"": [], ""Wed"": [""13:00-16:00"", ""20:30-23:30""], ""Thu"": [""13:00-16:00"", ""20:30-23:30""], ""Fri"": [""13:00-16:00"", ""20:30-23:30""], ""Sat"": [""13:00-16:00"", ""20:30-23:30""], ""Sun"": [""13:00-16:00""]}",6,30,10,4,219,English,7,2,4,1,0,0,4.5,4,4,4,
